kind,target_ts,value_mw,publish_time,captured_at
solar,1787412600,,,2026-08-22T05:59:07+00:00
solar,1787413500,,,2026-08-22T05:59:07+00:00
solar,1787414400,,,2026-08-22T05:59:07+00:00
solar,1787415300,,,2026-08-22T05:59:07+00:00
solar,1787416200,,,2026-08-22T05:59:07+00:00
solar,1787417100,,,2026-08-22T05:59:07+00:00
solar,1787418000,,,2026-08-22T05:59:07+00:00
solar,1787418900,,,2026-08-22T05:59:07+00:00
solar,1787419800,,,2026-08-22T05:59:07+00:00
solar,1787420700,,,2026-08-22T05:59:07+00:00
solar,1787421600,,,2026-08-22T05:59:07+00:00
solar,1787422500,,,2026-08-22T05:59:07+00:00
solar,1787423400,,,2026-08-22T05:59:07+00:00
solar,1787424300,,,2026-08-22T05:59:07+00:00
solar,1787425200,,,2026-08-22T05:59:07+00:00
solar,1787426100,,,2026-08-22T05:59:07+00:00
solar,1787427000,,,2026-08-22T05:59:07+00:00
solar,1787427900,,,2026-08-22T05:59:07+00:00
solar,1787428800,,,2026-08-22T05:59:07+00:00
solar,1787429700,,,2026-08-22T05:59:07+00:00
solar,1787430600,,,2026-08-22T05:59:07+00:00
solar,1787431500,,,2026-08-22T05:59:07+00:00
solar,1787432400,,,2026-08-22T05:59:07+00:00
solar,1787433300,,,2026-08-22T05:59:07+00:00
solar,1787434200,,,2026-08-22T05:59:07+00:00
solar,1787435100,,,2026-08-22T05:59:07+00:00
wind_offshore,1787349600,2226.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787350500,2334.1,,2026-08-22T05:59:07+00:00
wind_offshore,1787351400,2472.7,,2026-08-22T05:59:07+00:00
wind_offshore,1787352300,2564.1,,2026-08-22T05:59:07+00:00
wind_offshore,1787353200,2593.8,,2026-08-22T05:59:07+00:00
wind_offshore,1787354100,2647.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787355000,2756.3,,2026-08-22T05:59:07+00:00
wind_offshore,1787355900,3046.7,,2026-08-22T05:59:07+00:00
wind_offshore,1787356800,3312.1,,2026-08-22T05:59:07+00:00
wind_offshore,1787357700,3599.5,,2026-08-22T05:59:07+00:00
wind_offshore,1787358600,3683.0,,2026-08-22T05:59:07+00:00
wind_offshore,1787359500,3705.7,,2026-08-22T05:59:07+00:00
wind_offshore,1787360400,3720.8,,2026-08-22T05:59:07+00:00
wind_offshore,1787361300,3742.2,,2026-08-22T05:59:07+00:00
wind_offshore,1787362200,3774.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787363100,3812.8,,2026-08-22T05:59:07+00:00
wind_offshore,1787364000,3848.3,,2026-08-22T05:59:07+00:00
wind_offshore,1787364900,3870.4,,2026-08-22T05:59:07+00:00
wind_offshore,1787365800,3901.5,,2026-08-22T05:59:07+00:00
wind_offshore,1787366700,3944.4,,2026-08-22T05:59:07+00:00
wind_offshore,1787367600,3991.4,,2026-08-22T05:59:07+00:00
wind_offshore,1787368500,4054.8,,2026-08-22T05:59:07+00:00
wind_offshore,1787369400,4124.3,,2026-08-22T05:59:07+00:00
wind_offshore,1787370300,4186.8,,2026-08-22T05:59:07+00:00
wind_offshore,1787371200,4252.7,,2026-08-22T05:59:07+00:00
wind_offshore,1787372100,4369.4,,2026-08-22T05:59:07+00:00
wind_offshore,1787373000,4485.1,,2026-08-22T05:59:07+00:00
wind_offshore,1787373900,4611.0,,2026-08-22T05:59:07+00:00
wind_offshore,1787374800,4723.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787375700,4793.3,,2026-08-22T05:59:07+00:00
wind_offshore,1787376600,4844.0,,2026-08-22T05:59:07+00:00
wind_offshore,1787377500,4908.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787378400,4957.5,,2026-08-22T05:59:07+00:00
wind_offshore,1787379300,4990.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787380200,5033.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787381100,4871.9,,2026-08-22T05:59:07+00:00
wind_offshore,1787382000,4638.4,,2026-08-22T05:59:07+00:00
wind_offshore,1787382900,4647.2,,2026-08-22T05:59:07+00:00
wind_offshore,1787383800,4652.0,,2026-08-22T05:59:07+00:00
wind_offshore,1787384700,4611.0,,2026-08-22T05:59:07+00:00
wind_offshore,1787385600,4342.1,,2026-08-22T05:59:07+00:00
